system,lat,lon,site,chl a,tn,tp,turbidity,secchi,afdm,tss
Lake Arrowhead,33.67108,-98.3864,AH5,26.200000000000003,1.07,0.171,33.8,0.235,5.5,25
Lake Arrowhead,33.68267,-98.4266,AH2,9.786666666666667,0.9443333333333334,0.17366666666666666,67.3,0.135,8.5,34.5
Lake Arrowhead,33.70428,-98.3622,AH4,9.62,1.009,0.1405,27.2,0.3,3.5,18.5
Lake Arrowhead,33.74623,-98.3876,AH1,16.843333333333334,1.19,0.092175000000000007,15.6,0.47,6.5,15.5
Lake Arrowhead,33.76283,-98.3658,AH3,54.4,1.11,0.11133333333333334,11.8,0.65,4,9
Lake Bonham,33.64784958,-96.16458728,BON1,45.666666666666664,0.9545000000000001,0.0717,8.6,0.6,11,10.5
Lake Bonham,33.649117,-96.148267,BON6,30.866666666666667,0.6859999999999999,0.053250000000000006,5.17,1.1,8.46,6.97
Lake Bonham,33.65165,-96.136733,BON2,35.53333333333333,0.841,0.05845,5.21,1.4,6.47,6.47
Lake Bonham,33.653917,-96.161033,BON5,15.703333333333333,0.8125,0.0527,6.5,1.2,6.03,8.04
Lake Bonham,33.656033,-96.157833,BON4,22,0.7210000000000001,0.051500000000000004,6.15,1.25,4.06,7.61
Lake Bonham,33.66265,-96.149,BON3,41.733333333333334,0.8975,0.0487,6.8,1.2,6.44,8.91
Lake Brownwood,31.824617,-99.057317,BW2,6.906666666666666,0.772,0.0376,5.42,1.065,6.3,-2.3
Lake Brownwood,31.83805,-99.097983,BW1,6.91,0.9542499999999999,0.05366666666666667,14.4,1.1315,6.3,20.3
Lake Brownwood,31.8388,-99.004467,BW3,9.82,0.76125,0.025750000000000002,2.66,1.575,1.3,1.3
Lake Brownwood,31.886317,-99.021583,BW4,9.366666666666667,0.8685,0.0401,12.6,1.49,3,9.3
Lake OH Ivie,31.492633,-99.694383,IV2,8.666666666666666,0.7836666666666666,0.019533333333333333,2.55,1.15,NA,NA
Lake OH Ivie,31.502617,-99.66905,IV3,5.483333333333333,0.9736666666666667,0.0183,1.13,1.5,NA,NA
Lake OH Ivie,31.554717,-99.713467,IV1,9.703333333333333,1.2066666666666666,0.0308,2.36,0.95,NA,NA
Lake OH Ivie,31.58,-99.684533,IV4,6.17,0.9176666666666666,0.01715,2.78,1.18,NA,NA
Lake Waco,31.52821667,-97.23906667,LW2,72.86666666666666,0.728,0.05503333333333333,15.5,NA,12,17.3
Lake Waco,31.53843333,-97.22306667,LW6,47.8,0.7143333333333334,0.05,7.86,NA,10,10.7
Lake Waco,31.56626667,-97.21616667,LW5,44.83333333333333,0.74275,0.05342,6.62,NA,10.7,8
Lake Waco,31.58223333,-97.2046,LW4,63.03333333333333,0.726,0.050633333333333336,6.54,NA,12,9.3
Lake Waco,31.59051667,-97.2623,LW1,45.46666666666667,0.8896666666666667,0.05413333333333333,20,NA,12.7,21.3
Lake Waco,31.59436667,-97.25435,LW3,64.16666666666667,0.8313333333333334,0.04903333333333333,14.3,NA,12.7,17.3
Red Bluff Reservoir,31.901717,-103.913717,RB1,13.4,1.1766666666666667,0.032674999999999996,3.57,1,7.5,13.5
Red Bluff Reservoir,31.928883,-103.91895,RB6,13.040000000000001,1.3166666666666667,0.031825,3.36,1.13,5.5,4.5
Red Bluff Reservoir,31.9463,-103.942183,RB5,20.766666666666666,1.3166666666666667,0.02896666666666667,4.33,0.93,3.75,5.25
Red Bluff Reservoir,31.969367,-103.947133,RB4,17.666666666666668,1.32,0.025675,4.99,0.88,7.25,12.5
Red Bluff Reservoir,31.986317,-103.981383,RB3,58.833333333333336,1.4775,0.06026666666666667,11.4,0.4,11.2,21.2
Red Bluff Reservoir,32.00235,-103.979733,RB2,54.36666666666667,1.5666666666666667,0.06993333333333333,16.6,0.375,8.75,14.8
